host_name,host_ip,endpoint_id,base_url,reachable,model_id,model_key
x1-370,192.168.1.241,1,http://scotts-macbook-air.tailcb8954.ts.net:1234/v1,1,1,refinedtoolcallv5-3b
x1-370,192.168.1.241,1,http://scotts-macbook-air.tailcb8954.ts.net:1234/v1,1,2,qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled
x1-370,192.168.1.241,1,http://scotts-macbook-air.tailcb8954.ts.net:1234/v1,1,3,liquid/lfm2.5-1.2b
x1-370,192.168.1.241,1,http://scotts-macbook-air.tailcb8954.ts.net:1234/v1,1,4,text-embedding-nomic-embed-text-v1.5
