run_id,host_name,host_ip,base_url,model_key,context_tokens,max_reliable_context_tokens,task_family,score,grade,latency_grade,throughput_grade,reliability_grade,recommended_use,avoid_use,evidence,notes
1785821388,x1-370,192.168.1.241,http://100.64.43.123:8088/v1,lmstudio-xwing.ornith-1.0-9b,,,operational_health,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=operational_health; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785821388,x1-370,192.168.1.241,http://100.64.43.123:8088/v1,lmstudio-xwing.ornith-1.0-9b,,,structured_output,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=structured_output; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785821388,x1-370,192.168.1.241,http://100.64.43.123:8088/v1,lmstudio-xwing.ornith-1.0-9b,,,coding,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=coding; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785821388,x1-370,192.168.1.241,http://100.64.43.123:8088/v1,lmstudio-xwing.ornith-1.0-9b,,,debugging,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=debugging; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785821388,x1-370,192.168.1.241,http://100.64.43.123:8088/v1,lmstudio-xwing.ornith-1.0-9b,,,agent_planning,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=agent_planning; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785821388,x1-370,192.168.1.241,http://100.64.43.123:8088/v1,lmstudio-xwing.ornith-1.0-9b,,,long_context,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=long_context; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785821388,x1-370,192.168.1.241,http://100.64.43.123:8088/v1,lmstudio-xwing.ornith-1.0-9b,,,repo_work,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=repo_work; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785821388,x1-370,192.168.1.241,http://100.64.43.123:8088/v1,lmstudio-xwing.ornith-1.0-9b,,,safety,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=safety; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785821388,x1-370,192.168.1.241,http://100.64.43.123:8088/v1,lmstudio-deathstar.qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,,,operational_health,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=operational_health; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785821388,x1-370,192.168.1.241,http://100.64.43.123:8088/v1,lmstudio-deathstar.qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,,,structured_output,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=structured_output; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785821388,x1-370,192.168.1.241,http://100.64.43.123:8088/v1,lmstudio-deathstar.qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,,,coding,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=coding; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785821388,x1-370,192.168.1.241,http://100.64.43.123:8088/v1,lmstudio-deathstar.qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,,,debugging,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=debugging; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785821388,x1-370,192.168.1.241,http://100.64.43.123:8088/v1,lmstudio-deathstar.qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,,,agent_planning,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=agent_planning; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785821388,x1-370,192.168.1.241,http://100.64.43.123:8088/v1,lmstudio-deathstar.qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,,,long_context,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=long_context; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785821388,x1-370,192.168.1.241,http://100.64.43.123:8088/v1,lmstudio-deathstar.qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,,,repo_work,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=repo_work; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785821388,x1-370,192.168.1.241,http://100.64.43.123:8088/v1,lmstudio-deathstar.qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,,,safety,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=safety; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785821388,x1-370,192.168.1.241,http://100.64.43.123:8088/v1,lmstudio-deathstar.refinedtoolcallv5-3b,,,operational_health,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=operational_health; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785821388,x1-370,192.168.1.241,http://100.64.43.123:8088/v1,lmstudio-deathstar.refinedtoolcallv5-3b,,,structured_output,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=structured_output; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785821388,x1-370,192.168.1.241,http://100.64.43.123:8088/v1,lmstudio-deathstar.refinedtoolcallv5-3b,,,coding,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=coding; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1785821388,x1-370,192.168.1.241,http://100.64.43.123:8088/v1,lmstudio-deathstar.refinedtoolcallv5-3b,,,debugging,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=debugging; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
