model_key,estimated_params_b,estimated_quant,estimated_bits_per_param,estimated_model_memory_gib,system_ram_gib,available_ram_gib,largest_nvidia_vram_gib,fit_grade,fit_notes
google/gemma-4-12b-qat,12.0,unknown_assume_q4,4.5,7.54,91.94,55.55,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
ornith-1.0-9b,9.0,unknown_assume_q4,4.5,5.66,91.94,55.55,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
refinedtoolcallv5-3b,3.0,unknown_assume_q4,4.5,1.89,91.94,55.55,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
text-embedding-nomic-embed-text-v1.5,,unknown_assume_q4,4.5,,91.94,55.55,,unknown,Could not estimate model size from name. Run benchmark load checks and monitor LM Studio memory.
