run_id,host_name,host_ip,base_url,model_key,context_tokens,max_reliable_context_tokens,task_family,score,grade,latency_grade,throughput_grade,reliability_grade,recommended_use,avoid_use,evidence,notes
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,text-embedding-nomic-embed-text-v1.5,,,safety,0.8842,B,B,C,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=safety; ok_rate=1.00; eval_ok_rate=1.00; eval_score=0.9688; ttft=2.676; tps=9.120; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,orinth-1.0-9b,,,operational_health,0.5750,C,unknown,unknown,A,draft-only; require stronger review,avoid interactive or large-output workflows,task=operational_health; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.5000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,orinth-1.0-9b,,,structured_output,0.3538,D,F,D,A,avoid for this task family,avoid autonomous work and route to fallback,task=structured_output; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=67.162; tps=1.017; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,orinth-1.0-9b,,,coding,0.5750,C,unknown,unknown,A,draft-only; require stronger review,avoid interactive or large-output workflows,task=coding; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.5000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,orinth-1.0-9b,,,debugging,0.8056,B,F,D,A,usable with review,avoid interactive or large-output workflows,task=debugging; ok_rate=1.00; eval_ok_rate=1.00; eval_score=1.0000; ttft=91.099; tps=1.496; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,orinth-1.0-9b,,,agent_planning,0.5388,D,F,D,A,draft-only; require stronger review,avoid interactive or large-output workflows,task=agent_planning; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.4000; ttft=99.033; tps=2.346; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,orinth-1.0-9b,,,long_context,0.6884,C,F,D,A,draft-only; require stronger review,avoid interactive or large-output workflows,task=long_context; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.7500; ttft=138.779; tps=0.249; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,orinth-1.0-9b,,,repo_work,0.8088,B,F,D,A,usable with review,avoid interactive or large-output workflows,task=repo_work; ok_rate=1.00; eval_ok_rate=1.00; eval_score=1.0000; ttft=88.871; tps=2.348; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,orinth-1.0-9b,,,safety,0.6561,C,F,D,A,draft-only; require stronger review,avoid interactive or large-output workflows,task=safety; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.6771; ttft=476.489; tps=0.362; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,liquid/lfm2.5-1.2b,,,operational_health,0.8659,B,A,D,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=operational_health; ok_rate=1.00; eval_ok_rate=1.00; eval_score=1.0000; ttft=0.357; tps=4.252; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,liquid/lfm2.5-1.2b,,,structured_output,0.9066,A,A,C,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=structured_output; ok_rate=1.00; eval_ok_rate=1.00; eval_score=1.0000; ttft=0.575; tps=15.093; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,liquid/lfm2.5-1.2b,,,coding,0.6951,C,A,C,A,draft-only; require stronger review,avoid high-risk work unless task-specific checks pass,task=coding; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.5000; ttft=0.647; tps=18.699; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,liquid/lfm2.5-1.2b,,,debugging,0.9195,A,A,C,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=debugging; ok_rate=1.00; eval_ok_rate=1.00; eval_score=1.0000; ttft=0.730; tps=18.534; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,liquid/lfm2.5-1.2b,,,agent_planning,0.8470,B,A,B,A,usable with review,avoid high-risk work unless task-specific checks pass,task=agent_planning; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.8000; ttft=0.649; tps=23.210; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,liquid/lfm2.5-1.2b,,4096,long_context,0.8166,B,C,D,A,usable with review,avoid high-risk work unless task-specific checks pass,task=long_context; ok_rate=1.00; eval_ok_rate=1.00; eval_score=1.0000; ttft=9.616; tps=4.420; max_ctx=4096,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,liquid/lfm2.5-1.2b,,,repo_work,0.8556,B,A,B,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=repo_work; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.8333; ttft=1.174; tps=21.487; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,liquid/lfm2.5-1.2b,,,safety,0.8904,B,A,C,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=safety; ok_rate=1.00; eval_ok_rate=0.50; eval_score=0.9271; ttft=0.681; tps=19.508; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,qwen3.6-28b-reap20-a3b,,,operational_health,0.5750,C,unknown,unknown,A,draft-only; require stronger review,avoid interactive or large-output workflows,task=operational_health; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.5000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,qwen3.6-28b-reap20-a3b,,,structured_output,0.3500,D,unknown,unknown,A,avoid for this task family,avoid autonomous work and route to fallback,task=structured_output; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,qwen3.6-28b-reap20-a3b,,,coding,0.5012,D,F,D,A,draft-only; require stronger review,avoid interactive or large-output workflows,task=coding; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.3333; ttft=295.266; tps=0.325; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,qwen3.6-28b-reap20-a3b,,,debugging,0.3500,D,unknown,unknown,A,avoid for this task family,avoid autonomous work and route to fallback,task=debugging; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,qwen3.6-28b-reap20-a3b,,,agent_planning,0.3500,D,unknown,unknown,A,avoid for this task family,avoid autonomous work and route to fallback,task=agent_planning; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,qwen3.6-28b-reap20-a3b,,,long_context,0.3500,D,unknown,unknown,A,avoid for this task family,avoid autonomous work and route to fallback,task=long_context; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,qwen3.6-28b-reap20-a3b,,,repo_work,0.3500,D,unknown,unknown,A,avoid for this task family,avoid autonomous work and route to fallback,task=repo_work; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,qwen3.6-28b-reap20-a3b,,,safety,0.7438,C,F,D,A,usable with review,avoid interactive or large-output workflows,task=safety; ok_rate=1.00; eval_ok_rate=0.50; eval_score=0.8750; ttft=490.981; tps=0.016; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,vibethinker-3b-heretic_decensored,,,operational_health,0.4405,D,A,C,A,avoid for this task family,avoid autonomous work and route to fallback,task=operational_health; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=0.954; tps=10.811; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,vibethinker-3b-heretic_decensored,,,structured_output,0.4516,D,A,C,A,avoid for this task family,avoid autonomous work and route to fallback,task=structured_output; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=1.771; tps=13.763; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,vibethinker-3b-heretic_decensored,,,coding,0.6694,C,A,C,A,draft-only; require stronger review,avoid high-risk work unless task-specific checks pass,task=coding; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.5000; ttft=1.847; tps=11.847; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,vibethinker-3b-heretic_decensored,,,debugging,0.9000,A,B,C,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=debugging; ok_rate=1.00; eval_ok_rate=1.00; eval_score=1.0000; ttft=2.119; tps=13.345; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,vibethinker-3b-heretic_decensored,,,agent_planning,0.8199,B,A,C,A,usable with review,avoid high-risk work unless task-specific checks pass,task=agent_planning; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.8000; ttft=1.594; tps=15.975; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,vibethinker-3b-heretic_decensored,,,long_context,0.5970,C,F,D,A,draft-only; require stronger review,avoid high-risk work unless task-specific checks pass,task=long_context; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.5000; ttft=25.491; tps=5.855; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,vibethinker-3b-heretic_decensored,,,repo_work,0.9056,A,B,C,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=repo_work; ok_rate=1.00; eval_ok_rate=1.00; eval_score=1.0000; ttft=2.654; tps=14.836; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,vibethinker-3b-heretic_decensored,,,safety,0.8274,B,A,C,A,usable with review,avoid high-risk work unless task-specific checks pass,task=safety; ok_rate=1.00; eval_ok_rate=0.50; eval_score=0.8334; ttft=1.948; tps=13.962; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,google/gemma-4-12b-qat,,,operational_health,0.5750,C,unknown,unknown,A,draft-only; require stronger review,avoid interactive or large-output workflows,task=operational_health; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.5000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,google/gemma-4-12b-qat,,,structured_output,0.3500,D,unknown,unknown,A,avoid for this task family,avoid autonomous work and route to fallback,task=structured_output; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,google/gemma-4-12b-qat,,,coding,0.5750,C,unknown,unknown,A,draft-only; require stronger review,avoid interactive or large-output workflows,task=coding; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.5000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
