run_id,host_name,host_ip,base_url,model_key,load_s,ttft_med,tps_med,ok_rate,eval_ok_rate,eval_score_avg,cases
1784131163,lenovo-ideapad-330s-15ikb,192.168.1.241,http://scott-lenovo-ideapad-330s-15ikb.tailcb8954.ts.net:1234/v1,vibethinker-3b-heretic-i1,5.324,29.850,0.758,0.90,0.10,0.1667,10
1784131163,lenovo-ideapad-330s-15ikb,192.168.1.241,http://scott-lenovo-ideapad-330s-15ikb.tailcb8954.ts.net:1234/v1,google/gemma-4-e2b,0.133,297.144,0.956,0.70,0.20,0.3633,10
1784131163,lenovo-ideapad-330s-15ikb,192.168.1.241,http://scott-lenovo-ideapad-330s-15ikb.tailcb8954.ts.net:1234/v1,qwopus3.5-4b-coder-mtp,3.972,713.470,0.365,0.90,0.10,0.3233,10
1784131163,lenovo-ideapad-330s-15ikb,192.168.1.241,http://scott-lenovo-ideapad-330s-15ikb.tailcb8954.ts.net:1234/v1,qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,0.134,,,0.30,0.00,0.0000,10
1784131163,lenovo-ideapad-330s-15ikb,192.168.1.241,http://scott-lenovo-ideapad-330s-15ikb.tailcb8954.ts.net:1234/v1,lfm2.5-8b-a1b-terminal-toolbench-full-sft-1epoch,287.539,261.136,0.474,0.70,0.20,0.3100,10
1784131163,lenovo-ideapad-330s-15ikb,192.168.1.241,http://scott-lenovo-ideapad-330s-15ikb.tailcb8954.ts.net:1234/v1,liquid/lfm2.5-1.2b,0.055,11.112,2.635,1.00,0.40,0.7321,10
1784131163,lenovo-ideapad-330s-15ikb,192.168.1.241,http://scott-lenovo-ideapad-330s-15ikb.tailcb8954.ts.net:1234/v1,text-embedding-nomic-embed-text-v1.5,1.291,6.808,2.367,0.50,0.30,0.4300,10
