model_key,estimated_params_b,estimated_quant,estimated_bits_per_param,estimated_model_memory_gib,system_ram_gib,available_ram_gib,largest_nvidia_vram_gib,fit_grade,fit_notes
orinth-1.0-9b,9.0,unknown_assume_q4,4.5,5.66,91.94,29.04,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
ornith-1.0-35b,35.0,unknown_assume_q4,4.5,25.66,91.94,29.04,,borderline,"Estimated model may fit, but expect pressure from KV cache, context length, and other processes."
qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,0.8,unknown_assume_q4,4.5,0.5,91.94,29.04,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
qwen3.6-14b-a3b-vibeforged-v2,14.0,unknown_assume_q4,4.5,8.8,91.94,29.04,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
text-embedding-nomic-embed-text-v1.5,,unknown_assume_q4,4.5,,91.94,29.04,,unknown,Could not estimate model size from name. Run benchmark load checks and monitor LM Studio memory.
vibethinker-3b-hermes,3.0,unknown_assume_q4,4.5,1.89,91.94,29.04,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
