host_name,host_ip,endpoint_id,base_url,reachable,model_id,model_key
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,1,refinedtoolcallv5-3b@f16
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,2,ornith-1.0-35b-mtp-apex
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,3,prism-ml/bonsai-27b
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,4,qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,5,refinedtoolcallv5-3b
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,6,poolside-laguna-s-2.1-dflash@q4_k_m
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,7,poolside-laguna-s-2.1-dflash@q8_0
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,8,laguna-s-2.1
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,9,laguna-xs-2.1
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,10,hermes-qwen3.5-0.8b-sft-v7-fresh
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,11,refinedtoolcallv5-3b@q6_k
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,12,refinedtoolcallv5-3b@q8_0
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,13,minicpm5-1b-agentic-tooluse
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,14,text-embedding-nomic-embed-text-v1.5
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,15,vibethinker-3b
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,16,qwen3.6-35b-a3b-claude-4.7-opus-reasoning-distilled-apex
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,17,qwen3.5-14b-a3b-claude-4.6-opus-reasoning-distilled-reap
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,18,qwen3.5-9b-claude-4.6-highiq-instruct-heretic-uncensored
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,19,qwen3.5-0.8b
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,20,ternary-bonsai-27b@?
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,21,ternary-bonsai-27b@q4_1
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,22,poolside-laguna-s-2.1-dflash@?
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,23,poolside/laguna-xs-2.1
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,24,ornith-1.0-35b-rocmfpx
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,25,lmstudio-community/laguna-xs-2.1
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,26,orinth-1.0-9b
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,27,qwen3.6-14b-a3b-vibeforged-v2
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,28,liquid/lfm2-24b-a2b
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,29,mradermacher/vibethinker-3b-hermes
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,30,refinedneuro/vibethinker-3b-hermes
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,31,vibethinker-3b-i1
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,32,qwen3.6-35b-a3b-claude-4.7-opus-reasoning-distilled-apex-mtp
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,33,google/gemma-4-12b-qat
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,34,lfm2.5-8b-a1b
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,35,lfm2.5-1.2b-instruct
x1-370,192.168.1.241,1,http://127.0.0.1:1234/v1,1,36,openai/gpt-oss-20b
